73;823
80;1572
71;2414
59;3426
65;4343
60;5345
60;6337
71;7184
70;8045
68;8926
67;9827
67;10726
55;11824
60;12826
66;13735
65;14657
65;15577
73;16398
60;17406
60;18406
67;19298
62;20265
61;21246
69;22115
67;23015
67;23908
73;24728
70;25587
68;26469
73;27287
58;28318
83;29037
71;29886
76;30678
72;31506
65;32429
65;33346
74;34156
75;34960
64;35899
70;36758
80;37509
76;38299
79;39059
72;39898
68;40777
76;41570
69;42437
76;43230
73;44050
68;44930
73;45749
72;46578
71;47427
69;48299
76;49091
78;49861
81;50600
87;51288
88;51970
81;52708
81;53446
76;54237
71;55077
71;55925
76;56716
80;57466
79;58227
74;59034
74;59845
74;60655
77;61432
79;62188
